Name,Lat,Long,Id,Address,Rating
Harper House Assisted Living,30.2863582,-97.69922389999999,ChIJoVw7ZeK1RIYRNCmi0JkZHwE,"2201 Greenwood Ave, Austin",0.0
The Village at The Triangle,30.3133579,-97.7341465,ChIJaVrQ-WTKRIYR0lEg-VRkQRA,"4517 Triangle Ave, Austin",4.9
Barton Hills Assisted Living,30.252569,-97.768689,ChIJ44aMtCC1RIYRFkROxW1rbe4,"1606 Nash Ave, Austin",4.3
Belmont Village Senior Living West Lake Hills,30.287426,-97.8129596,ChIJs4k05ptKW4YRk0IaVnJ-fYY,"4310 Bee Caves Rd, Austin",3.9
Parsons House Austin,30.3244573,-97.6966468,ChIJjW3GNfXJRIYR6AsP5IwOOPU,"1130 Camino La Costa, Austin",4.0
Oasis Senior Advisors Austin,30.300459,-97.7353473,ChIJX0PDvPLLRIYRflKvtLNpne4,"3710 Cedar St #281, Austin",5.0
Assisted Living Tours,30.276431,-97.746398,ChIJdZN6u3S1RIYRElxcqG2HBz4,"603 W 13th St, Austin",0.0
Brookdale Westlake Hills,30.2675333,-97.78756969999999,ChIJVzHjgcxKW4YRArZ3TXUc2K8,"1034 Liberty Park Dr, Austin",4.2
Austin Supported Living Center,30.3067611,-97.7596052,ChIJFRlgoZnKRIYRXOuynV9FN10,"2203 W 35th St, Austin",3.5
Assisted Living Guidance,30.264881,-97.7462917,ChIJeyIbsAi1RIYRb9mbyRU4YbA,"271 W 2nd St, Austin",0.0
Summit Senior Living Network,30.267476,-97.78756200000001,ChIJVzHjgcxKW4YRQ_O6mSd_aW8,"1034 Liberty Park Dr, Austin",5.0
Brookdale Gaines Ranch,30.2419239,-97.81638489999999,ChIJuTGQWxtLW4YRpemImL4fklA,"4409 Gaines Ranch Loop, Austin",4.4
Austin Adult Day Health Center,30.300459,-97.7353473,ChIJtzKMuHjKRIYRZF-ZXUQ3IQE,"3710 Cedar St # 199, Austin",0.0
Burkes Adult Supervised Living,30.309368,-97.68059500000001,ChIJQ7Zfv-bJRIYRXEVjlDzeYCE,"2612 Wheless Ln, Austin",2.3
Elmcroft of Austin,30.2004505,-97.80652909999999,ChIJAbjsgZ9MW4YR_pDyfhlRfO0,"7017 Manchaca Rd, Austin",3.6
Southern Hospitality Home,30.3229337,-97.7429865,ChIJtfeWQPXKRIYRU0qws_Dk9Vk,"5000 Shoalwood Ave, Austin",5.0
West Campus Living,30.25819349999999,-97.728346,ChIJp1LQMLK1RIYRJpxoZfve5gU,"1601 E Cesar Chavez St # 103, Austin",0.0
Concordis Senior Living,30.3093541,-97.7514741,ChIJ21B1XoXKRIYR52iUv5GMAZw,"3724 Jefferson St, Austin",0.0
Assisted Living in Austin,30.2843832,-97.82341070000001,ChIJKaxPDYdKW4YR1iRWhNai-w8,"1101 S Capital of Texas Hwy, Austin",0.0
J J's Care Facility,30.275662,-97.70472,ChIJQ7xayd21RIYRUje41lgXy1s,"2935 E 12th St, Austin",0.0
